EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;2559380;2071070;463045;258934;0;8419;1;48754400;0;23783700;304;55000;10,783;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7379;401;267245;0;61649;72679100;58804500;13149200;7932760;0;239076;29;2155430000;0;484945000;8816;1595000;293,867;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5978;365;57303;0;35;63068600;46204000;10434200;4601510;0;231870;30;442895000;0;270515;8160;1350000;280,783;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7472;299;267201;0;5353;72225500;57265400;13067100;7242730;0;237584;31;2047830000;0;41025400;9424;1705000;285,766;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4076;99;86539;0;39018;45071900;40429800;7141680;4884080;0;158704;16;858380000;0;387020000;4544;720000;191,583;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;142;1;0;0;0;1004780;824736;81312;74226;0;5808;1;0;0;0;173;14000;7,483;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4785;64;1831;0;0;30770800;27791300;3118900;2511840;0;174240;30;10634400;0;0;5298;537000;227,3;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3652;44;1047;0;0;15880200;14158800;1620590;1278330;0;124064;32;4059220;0;0;4096;418000;170,32;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7749;267;101793;0;32300;56637700;52050000;9370220;5585190;0;208227;31;683743000;0;216959000;8432;1395000;255,565;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;15874;550;363027;0;74407;116965000;104356000;20247900;12267700;0;407588;62;2386540000;0;489152000;17792;3080000;520,099;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;156;15;0;0;0;1004780;906048;81312;81544;0;5808;1;0;0;0;173;14000;7,5;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4193;92;0;0;0;29556900;24352900;2973700;2191750;0;168432;29;0;0;0;5089;512000;219,665;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3420;32;0;0;0;14887700;13259300;1519780;1193330;0;116310;30;0;0;0;3840;392000;163,601;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7491;370;59864;0;0;65170900;57897900;10782000;5673490;0;239599;31;462689000;0;0;8432;1395000;307,486;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7946;247;192654;0;495;56637700;53373300;9370220;6100960;0;208227;31;1294060000;0;3324920;8432;1395000;265,302;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;;;;;;102448;82902;18535;10364;0;337;1;1951570;0;952025;304;55000;1,383;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8331;438;385080;0;9569;77691500;68680800;14056000;9434740;0;255564;31;3174600000;0;78886800;9424;1705000;319,217;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8220;387;316037;0;0;72225500;62998100;13067100;8091920;0;237584;31;2422110000;0;0;9424;1705000;299,233;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4344;97;106372;0;0;47888900;43088100;7588040;4933030;0;168623;17;1055100000;0;0;4828;765000;209,919;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;15753;653;334076;0;37654;117175000;103560000;20313700;11764100;0;407588;62;2196220000;0;247537000;17824;3090000;515,032;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;547808;490144;99110;53341;0;1802;1;7530560;0;1697480;304;55000;4,75;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6881;488;204361;0;39383;70172900;54484600;12695800;6870810;0;230832;28;1650300000;0;316908000;8512;1540000;282,583;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7136;205;158880;0;0;60966400;55154100;10086300;6191840;0;224141;29;1227980000;0;0;7888;1305000;271,3;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7173;319;240258;0;529;67565800;54973900;12224100;6793020;0;222256;29;1841340000;0;4054260;8816;1595000;270,018;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4164;97;90951;0;9925;47888900;41302700;7588040;4717820;0;168623;17;902143000;0;98446100;4828;765000;202,416;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;477904;335587;79065;34909;0;1757;1;4707000;0;0;272;45000;2,55;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4498;51;3820;0;0;29266500;26124400;2915620;2373370;0;168432;29;22186600;0;0;5039;502000;215,786;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2782;30;1010;0;0;11910100;10785800;1302670;974628;0;93048;24;3915770;0;0;3072;336000;127,849;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7208;220;107489;0;31944;51156700;48416100;8463420;5294010;0;188076;28;722004000;0;214568000;7616;1260000;228,632;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;14828;596;316512;0;54830;111811000;99267400;19426200;11408900;0;387866;59;2108220000;0;366645000;17008;2955000;489,881;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3695;51;144;0;0;31055400;22569900;3287330;2047670;0;174240;30;16396000;0;0;5347;566000;238,752;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2313;28;0;0;0;11910100;8967500;1302670;807064;0;93048;24;0;0;0;3072;336000;130,965;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5902;236;159269;0;0;58864100;44140300;9738540;5182900;0;216412;28;1210280000;0;0;7616;1260000;274,319;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7078;298;237328;0;243;52983700;47542900;8765680;5874610;0;194793;29;1594130000;0;1632230;7888;1305000;249,385;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;248608;174574;41130;18160;0;914;1;2448610;0;0;272;45000;3,1;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6659;427;422271;0;6512;72415300;54896800;13066700;8475580;0;239076;29;3481200000;0;53684900;8784;1585000;299,3;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6192;208;432385;0;0;62906100;47455500;11381000;7584780;0;206928;27;3313800000;0;0;8208;1485000;260,135;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4015;72;106392;0;0;45071900;39824800;7141680;4639520;0;158704;16;1055300000;0;0;4544;720000;200,532;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;13069;570;467522;0;33930;106025000;85915600;18407200;11028900;0;368144;56;3073490000;0;223056000;16128;2800000;468,384;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3146;264;113839;0;8146;39802000;25935600;7172280;3339840;0;131904;16;938489000;0;67155600;4828;870000;158,4;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2690;113;49628;0;0;31302400;20791000;5217080;2254760;0;115935;15;383575000;0;0;4050;675000;139,9;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3371;110;130154;0;2998;39362300;25835300;7089200;3345650;0;130288;17;997500000;0;22976700;5136;925000;159,033;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1980;36;53245;0;1096;25353000;19639600;4017200;2306570;0;89271;9;528137000;0;10871200;2556;405000;105,467;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2292;27;1051;0;0;16111400;13311900;1597200;1204170;0;92928;16;6104210;0;0;2774;275000;118,416;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1071;12;188;0;0;5458820;4152270;597058;374428;0;42647;11;728876;0;0;1408;154000;58,65;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3931;172;75771;0;17279;31059400;26404500;5138500;3001420;0;114189;17;508954000;0;116063000;4624;765000;137,799;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7555;261;185134;0;30145;62584500;49666600;10880000;5885220;0;216942;33;1217070000;0;198173000;9520;1655000;271,663;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1414;31;0;0;0;17104600;8212510;1690130;739119;0;98736;17;0;0;0;2945;291000;131,934;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1008;11;161;0;0;6451330;3908020;705614;352339;0;50401;13;624197;0;0;1664;182000;71,933;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2660;180;80935;0;0;35738900;20559100;5912680;2475860;0;131393;17;625547000;0;0;4624;765000;166,616;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3314;252;155305;0;286;31059400;22260100;5138500;3048510;0;114189;17;1043180000;0;1921060;4624;765000;146,983;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2622;318;231978;0;8797;42605000;21615800;7708140;3930360;0;140148;17;1912430000;0;72522500;5168;935000;176,181;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2688;113;215615;0;0;39362300;20600800;7089200;3506540;0;130288;17;1652470000;0;0;5136;925000;164,284;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1694;49;86449;0;0;28170000;16802800;4463550;2369730;0;99190;10;857488000;0;0;2840;450000;127,265;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;3;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5895;325;229108;0;36846;66542000;38753700;11405900;5236200;0;230090;35;1506160000;0;242226000;10122;1735000;292,298;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;6;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;198962;0;20622;0;0;4700410;1443540;0;85462;13;1307980000;0;135569000;0;715000;107,718;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;6;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;289786;0;5687;0;0;4700410;1942430;0;85462;13;1905050000;0;37386300;0;715000;107,283;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;6;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;TJSJ;SAN JUAN;;;PORTO RICO;AMÉRICA CENTRAL;INTERNACIONAL;REGULAR;0;0;19990;0;1558;0;0;281380;110239;0;5116;1;102269000;0;7970730;0;55000;8,067;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;7;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;222508;0;594;0;0;5094850;1466660;0;111758;17;1462770000;0;3904960;0;775000;141,05;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2020;7;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;363046;0;11990;0;0;5160590;2465480;0;111758;17;2386660000;0;78822300;0;785000;138,518;0
ACA;AIR CANADA;ESTRANGEIRA;2020;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3428;142;58291;0;206;33976800;27917600;6545310;2988980;0;114016;14;474722000;0;1677660;4172;803698;139,067;0
ACA;AIR CANADA;ESTRANGEIRA;2020;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;8606;186;175540;0;5563;75696200;70517600;14582200;7830520;0;254014;31;1438370000;0;45583200;9238;1779620;332,999;0
ACA;AIR CANADA;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3485;133;68995;0;0;31549900;28381800;6077790;3116260;0;105872;13;561895000;0;0;3874;746291;131,783;0
ACA;AIR CANADA;ESTRANGEIRA;2020;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8890;189;304937;0;4230;75679800;72844600;14582200;9089320;0;254014;31;2498650000;0;34660600;9236;1779620;286,147;0
